time,place,mag,depth,lon,lat,type,alert,tsunami,status,id,hour,month,day_of_week,tsl,hazard_label,target,zone,norm_mag,norm_depth,risk_score
2016-03-03 06:44:30.510,"southwest of Sumatra, Indonesia",4.5,10.0,94.3177,-4.5172,earthquake,,0,reviewed,",us10004w16,",6,3,3,0.21069722222222223,MEDIUM,1,0,0.45,0.9857142857142858,6.207142857142856
2023-01-10 19:42:02.909,"199 km SE of Perryville, Alaska",5.0,20.0,-156.8589,54.6782,earthquake,,1,reviewed,",ak023guxpjr,at00roac24,us7000j3gx,",19,1,1,0.17201055555555558,MEDIUM,1,0,0.5,0.9714285714285714,6.414285714285714
2021-03-08 07:05:28.062,South Shetland Islands,4.7,10.0,-56.4606,-61.9995,earthquake,,0,reviewed,",us7000dk7v,",7,3,0,0.9448122222222223,MEDIUM,1,0,0.47000000000000003,0.9857142857142858,6.307142857142857
2021-08-13 16:50:50.691,South Sandwich Islands region,4.6,38.5,-26.0345,-59.8038,earthquake,,0,reviewed,",us7000f34x,",16,8,4,0.39809666666666665,MEDIUM,1,0,0.45999999999999996,0.945,6.135
2023-02-13 07:57:48.596,"35 km E of Union, Philippines",4.8,35.0,126.4278,9.8043,earthquake,,0,reviewed,",us6000jnk1,",7,2,0,2.013292777777778,MEDIUM,1,0,0.48,0.95,6.249999999999999
2016-07-18 19:02:15.330,"4 km SSW of Puerto Madero, Mexico",4.9,70.73,-92.4357,14.6793,earthquake,,0,reviewed,",us20006fl8,",19,7,0,1.1104527777777777,MEDIUM,1,0,0.49000000000000005,0.8989571428571429,6.146871428571429
2016-10-04 00:21:35.940,"Maug Islands region, Northern Mariana Islands",4.5,62.79,145.1558,20.6908,earthquake,,0,reviewed,",us20007dpj,",0,10,1,1.7984083333333334,MEDIUM,1,0,0.45,0.9103,5.9809
2015-12-04 18:50:44.720,"75 km WNW of Paraparaumu, New Zealand",4.8,59.24,174.2598,-40.5494,earthquake,,0,reviewed,",us100043ef,",18,12,4,1.3587916666666666,MEDIUM,1,0,0.48,0.9153714285714286,6.146114285714285
2019-01-09 08:32:30.790,"3 km WNW of Santa Cruz, Philippines",4.6,56.26,121.2816,18.534,earthquake,,0,reviewed,",us2000j8sp,",8,1,2,0.15685833333333335,MEDIUM,1,0,0.45999999999999996,0.9196285714285715,6.058885714285714
2023-12-10 01:31:23.666,Reykjanes Ridge,5.2,11.357,-34.2904,56.6463,earthquake,,0,reviewed,",us7000lhui,",1,12,6,0.03689861111111111,MEDIUM,1,0,0.52,0.9837757142857143,6.551327142857143
2021-09-02 19:24:51.873,"138 km NE of Opotiki, New Zealand",4.5,43.23,178.3824,-37.1149,earthquake,,0,reviewed,",us7000f9ry,",19,9,3,0.9279394444444444,MEDIUM,1,0,0.45,0.9382428571428572,6.064728571428572
2016-10-30 11:21:11.280,"4 km ESE of Camerino, Italy",4.6,10.0,13.1153,43.1228,earthquake,,0,reviewed,",us1000732k,",11,10,6,2.7528583333333336,MEDIUM,1,0,0.45999999999999996,0.9857142857142858,6.257142857142856
